alcohol_data,kaggle_data
Andorra,
Antigua and Barbuda,
Bahamas,
Barbados,
Bolivia (Plurinational State of),
Brunei Darussalam,
Cabo Verde,
Congo,
Cook Islands,
Cuba,
Czechia,
Cфte d’Ivoire,
Democratic People's Republic of Korea,
Democratic Republic of the Congo,
Dominica,
Equatorial Guinea,
Eritrea,
Eswatini,
Fiji,
Grenada,
Guinea-Bissau,
Guyana,
Iran (Islamic Republic of),
Kiribati,
Lao People's Democratic Republic,
Maldives,
Micronesia (Federated States of),
Nauru,
Niue,
Papua New Guinea,
Republic of Korea,
Republic of Moldova,
Russian Federation,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,
Sao Tome and Principe,
Seychelles,
Solomon Islands,
Syrian Arab Republic,
The former Yugoslav Republic of Macedonia,
Timor-Leste,
Tonga,
Tuvalu,
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,
United States of America,
Vanuatu,
Venezuela (Bolivarian Republic of),
Viet Nam,
,Bolivia
,Congo (Brazzaville)
,Congo (Kinshasa)
,Czech Republic
,Hong Kong
,"Hong Kong S.A.R., China"
,Iran
,Ivory Coast
,Kosovo
,Laos
,Macedonia
,Moldova
,North Cyprus
,North Macedonia
,Northern Cyprus
,Palestinian Territories
,Puerto Rico
,Russia
,Somaliland region
,Somaliland Region
,South Korea
,South Sudan
,Sudan
,Swaziland
,Syria
,Taiwan
,Taiwan Province of China
,Tanzania
,Trinidad & Tobago
,United Kingdom
,United States
,Venezuela
,Vietnam
